NACE	Description
G.47.82	Retail sale via stalls and markets of textiles, clothing and footwear
G.47.89	Retail sale via stalls and markets of other goods
G.47.9	Retail trade not in stores, stalls or markets
G.47.91	Retail sale via mail order houses or via Internet
G.47.99	Other retail sale not in stores, stalls or markets
H	TRANSPORTATION AND STORAGE
H.49	Land transport and transport via pipelines
H.49.1	Passenger rail transport, interurban
H.49.10	Passenger rail transport, interurban
H.49.10	Passenger rail transport, interurban
H.49.2	Freight rail transport
H.49.20	Freight rail transport
H.49.20	Freight rail transport
H.49.3	Other passenger land transport
H.49.31	Urban and suburban passenger land transport
H.49.32	Taxi operation
H.49.39	Other passenger land transport n.e.c.
H.49.4	Freight transport by road and removal services
H.49.41	Freight transport by road
H.49.42	Removal services
H.49.5	Transport via pipeline
H.49.50	Transport via pipeline
H.50	Water transport
H.50.1	Sea and coastal passenger water transport
H.50.10	Sea and coastal passenger water transport
H.50.2	Sea and coastal freight water transport
H.50.20	Sea and coastal freight water transport
H.50.20	Sea and coastal freight water transport
H.50.3	Inland passenger water transport
H.50.30	Inland passenger water transport
H.50.4	Inland freight water transport
H.50.40	Inland freight water transport
H.51	Air transport
H.51.1	Passenger air transport
H.51.10	Passenger air transport
H.51.2	Freight air transport and space transport
H.51.21	Freight air transport
H.51.22	Space transport
H.52	Warehousing and support activities for transportation
H.52.1	Warehousing and storage
H.52.10	Warehousing and storage
H.52.2	Support activities for transportation
H.52.21	Service activities incidental to land transportation
H.52.22	Service activities incidental to water transportation
H.52.23	Service activities incidental to air transportation
H.52.24	Cargo handling
H.52.29	Other transportation support activities
H.53	Postal and courier activities
H.53.1	Postal activities under universal service obligation
H.53.10	Postal activities under universal service obligation
H.53.2	Other postal and courier activities
H.53.20	Other postal and courier activities
I	ACCOMMODATION AND FOOD SERVICE ACTIVITIES
I.55	Accommodation
I.55.1	Hotels and similar accommodation
I.55.10	Hotels and similar accommodation
I.55.2	Holiday and other short-stay accommodation
I.55.20	Holiday and other short-stay accommodation
I.55.3	Camping grounds, recreational vehicle parks and trailer parks
I.55.30	Camping grounds, recreational vehicle parks and trailer parks
I.55.9	Other accommodation
I.55.90	Other accommodation
I.56	Food and beverage service activities
I.56.1	Restaurants and mobile food service activities
I.56.10	Restaurants and mobile food service activities
I.56.2	Event catering and other food service activities
I.56.21	Event catering activities
I.56.29	Other food service activities
I.56.3	Beverage serving activities
I.56.30	Beverage serving activities
J	INFORMATION AND COMMUNICATION
J.58	Publishing activities
J.58.1	Publishing of books, periodicals and other publishing activities
J.58.11	Book publishing
J.58.12	Publishing of directories and mailing lists
J.58.13	Publishing of newspapers
J.58.14	Publishing of journals and periodicals
J.58.19	Other publishing activities
J.58.2	Software publishing
J.58.21	Publishing of computer games
J.58.29	Other software publishing
J.59	Motion picture, video and television programme production, sound recording and music publishing activities
J.59.1	Motion picture, video and television programme activities
J.59.11	Motion picture, video and television programme production activities
J.59.12	Motion picture, video and television programme post-production activities
J.59.13	Motion picture, video and television programme distribution activities
J.59.14	Motion picture projection activities
J.59.2	Sound recording and music publishing activities
J.59.20	Sound recording and music publishing activities
J.60	Programming and broadcasting activities
J.60.1	Radio broadcasting
J.60.10	Radio broadcasting
J.60.2	Television programming and broadcasting activities
J.60.20	Television programming and broadcasting activities
J.61	Telecommunications
J.61.1	Wired telecommunications activities
J.61.10	Wired telecommunications activities
J.61.2	Wireless telecommunications activities
J.61.20	Wireless telecommunications activities
J.61.3	Satellite telecommunications activities
J.61.30	Satellite telecommunications activities
J.61.9	Other telecommunications activities
J.61.90	Other telecommunications activities
J.62	Computer programming, consultancy and related activities
J.62.0	Computer programming, consultancy and related activities
J.62.01	Computer programming activities
J.62.02	Computer consultancy activities
J.62.03	Computer facilities management activities
J.62.09	Other information technology and computer service activities
J.63	Information service activities
J.63.1	Data processing, hosting and related activities; web portals
J.63.11	Data processing, hosting and related activities
J.63.12	Web portals
J.63.9	Other information service activities
J.63.91	News agency activities
J.63.99	Other information service activities n.e.c.
K	FINANCIAL AND INSURANCE ACTIVITIES
K.64	Financial service activities, except insurance and pension funding
K.64.1	Monetary intermediation
K.64.11	Central banking
K.64.19	Other monetary intermediation
K.64.2	Activities of holding companies
K.64.20	Activities of holding companies
K.64.3	Trusts, funds and similar financial entities
K.64.30	Trusts, funds and similar financial entities
K.64.9	Other financial service activities, except insurance and pension funding
K.64.91	Financial leasing
K.64.92	Other credit granting
K.64.99	Other financial service activities, except insurance and pension funding n.e.c.
K.65	Insurance, reinsurance and pension funding, except compulsory social security
K.65.1	Insurance
K.65.11	Life insurance
K.65.12	Non-life insurance
K.65.2	Reinsurance
K.65.20	Reinsurance
K.65.3	Pension funding
K.65.30	Pension funding
K.66	Activities auxiliary to financial services and insurance activities
K.66.1	Activities auxiliary to financial services, except insurance and pension funding
K.66.11	Administration of financial markets
K.66.12	Security and commodity contracts brokerage
K.66.19	Other activities auxiliary to financial services, except insurance and pension funding
K.66.2	Activities auxiliary to insurance and pension funding
K.66.21	Risk and damage evaluation
K.66.22	Activities of insurance agents and brokers
K.66.29	Other activities auxiliary to insurance and pension funding
K.66.3	Fund management activities
K.66.30	Fund management activities
L	REAL ESTATE ACTIVITIES
L.68	Real estate activities
L.68.1	Buying and selling of own real estate
L.68.10	Buying and selling of own real estate
L.68.2	Rental and operating of own or leased real estate
L.68.20	Rental and operating of own or leased real estate
L.68.3	Real estate activities on a fee or contract basis
L.68.31	Real estate agencies
L.68.32	Management of real estate on a fee or contract basis
M	PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES
M.69	Legal and accounting activities
M.69.1	Legal activities
M.69.10	Legal activities
M.69.2	Accounting, bookkeeping and auditing activities; tax consultancy
M.69.20	Accounting, bookkeeping and auditing activities; tax consultancy
M.70	Activities of head offices; management consultancy activities
M.70.1	Activities of head offices
M.70.10	Activities of head offices
M.70.2	Management consultancy activities
M.70.21	Public relations and communication activities
M.70.22	Business and other management consultancy activities
M.71	Architectural and engineering activities; technical testing and analysis
M.71.1	Architectural and engineering activities and related technical consultancy
M.71.11	Architectural activities
M.71.12	Engineering activities and related technical consultancy
M.71.2	Technical testing and analysis
M.71.20	Technical testing and analysis
M.72	Scientific research and development
M.72.1	Research and experimental development on natural sciences and engineering
M.72.11	Research and experimental development on biotechnology
M.72.19	Other research and experimental development on natural sciences and engineering
M.72.2	Research and experimental development on social sciences and humanities
M.72.20	Research and experimental development on social sciences and humanities
M.73	Advertising and market research
M.73.1	Advertising
M.73.11	Advertising agencies
M.73.12	Media representation
M.73.2	Market research and public opinion polling
M.73.20	Market research and public opinion polling
M.74	Other professional, scientific and technical activities
M.74.1	Specialised design activities
M.74.10	Specialised design activities
M.74.2	Photographic activities
M.74.20	Photographic activities
M.74.3	Translation and interpretation activities
M.74.30	Translation and interpretation activities
M.74.9	Other professional, scientific and technical activities n.e.c.
M.74.90	Other professional, scientific and technical activities n.e.c.
M.75	Veterinary activities
M.75.0	Veterinary activities
M.75.00	Veterinary activities
N	ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
N.77	Rental and leasing activities
N.77.1	Rental and leasing of motor vehicles
N.77.11	Rental and leasing of cars and light motor vehicles
N.77.12	Rental and leasing of trucks
N.77.2	Rental and leasing of personal and household goods
N.77.21	Rental and leasing of recreational and sports goods
N.77.22	Rental of video tapes and disks
N.77.29	Rental and leasing of other personal and household goods
N.77.3	Rental and leasing of other machinery, equipment and tangible goods
N.77.31	Rental and leasing of agricultural machinery and equipment
N.77.32	Rental and leasing of construction and civil engineering machinery and equipment
N.77.33	Rental and leasing of office machinery and equipment (including computers)
N.77.34	Rental and leasing of water transport equipment
N.77.35	Rental and leasing of air transport equipment
N.77.39	Rental and leasing of other machinery, equipment and tangible goods n.e.c.
N.77.4	Leasing of intellectual property and similar products, except copyrighted works
N.77.40	Leasing of intellectual property and similar products, except copyrighted works
N.78	Employment activities
N.78.1	Activities of employment placement agencies
N.78.10	Activities of employment placement agencies
N.78.2	Temporary employment agency activities
N.78.20	Temporary employment agency activities
N.78.3	Other human resources provision
N.78.30	Other human resources provision
N.79	Travel agency, tour operator and other reservation service and related activities
N.79.1	Travel agency and tour operator activities
N.79.11	Travel agency activities
N.79.12	Tour operator activities
N.79.9	Other reservation service and related activities
N.79.90	Other reservation service and related activities
N.80	Security and investigation activities
N.80.1	Private security activities
N.80.10	Private security activities
N.80.2	Security systems service activities
N.80.20	Security systems service activities
N.80.3	Investigation activities
N.80.30	Investigation activities
N.81	Services to buildings and landscape activities
N.81.1	Combined facilities support activities
N.81.10	Combined facilities support activities
N.81.2	Cleaning activities
N.81.21	General cleaning of buildings
N.81.22	Other building and industrial cleaning activities
N.81.29	Other cleaning activities
N.81.3	Landscape service activities
N.81.30	Landscape service activities
N.82	Office administrative, office support and other business support activities
N.82.1	Office administrative and support activities
N.82.11	Combined office administrative service activities
N.82.19	Photocopying, document preparation and other specialised office support activities
N.82.2	Activities of call centres
N.82.20	Activities of call centres
N.82.3	Organisation of conventions and trade shows
N.82.30	Organisation of conventions and trade shows
N.82.9	Business support service activities n.e.c.
N.82.91	Activities of collection agencies and credit bureaus
N.82.92	Packaging activities
N.82.99	Other business support service activities n.e.c.
n.n.a.	n.a.
O	PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
O.84	Public administration and defence; compulsory social security
O.84.1	Administration of the State and the economic and social policy of the community
O.84.11	General public administration activities
O.84.12	Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security
O.84.13	Regulation of and contribution to more efficient operation of businesses
O.84.2	Provision of services to the community as a whole
O.84.21	Foreign affairs
O.84.22	Defence activities
O.84.23	Justice and judicial activities
O.84.24	Public order and safety activities
O.84.25	Fire service activities
O.84.3	Compulsory social security activities
O.84.30	Compulsory social security activities
P	EDUCATION
P.85	Education
P.85.1	Pre-primary education
P.85.10	Pre-primary education
P.85.2	Primary education
P.85.20	Primary education
P.85.3	Secondary education
P.85.31	General secondary education
P.85.32	Technical and vocational secondary education
P.85.4	Higher education
P.85.41	Post-secondary non-tertiary education
P.85.42	Tertiary education
P.85.5	Other education
P.85.51	Sports and recreation education
P.85.52	Cultural education
P.85.53	Driving school activities
P.85.59	Other education n.e.c.
P.85.6	Educational support activities
P.85.60	Educational support activities
Q	HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
Q.86	Human health activities
Q.86.1	Hospital activities
Q.86.10	Hospital activities
Q.86.2	Medical and dental practice activities
Q.86.21	General medical practice activities
Q.86.22	Specialist medical practice activities
Q.86.23	Dental practice activities
Q.86.9	Other human health activities
Q.86.90	Other human health activities
Q.87	Residential care activities
Q.87.1	Residential nursing care activities
Q.87.10	Residential nursing care activities
Q.87.2	Residential care activities for mental retardation, mental health and substance abuse
Q.87.20	Residential care activities for mental retardation, mental health and substance abuse
Q.87.3	Residential care activities for the elderly and disabled
Q.87.30	Residential care activities for the elderly and disabled
Q.87.9	Other residential care activities
Q.87.90	Other residential care activities
Q.88	Social work activities without accommodation
Q.88.1	Social work activities without accommodation for the elderly and disabled
Q.88.10	Social work activities without accommodation for the elderly and disabled
Q.88.9	Other social work activities without accommodation
Q.88.91	Child day-care activities
Q.88.99	Other social work activities without accommodation n.e.c.
R	ARTS, ENTERTAINMENT AND RECREATION
R.90	Creative, arts and entertainment activities
R.90.0	Creative, arts and entertainment activities
R.90.01	Performing arts
R.90.02	Support activities to performing arts
R.90.03	Artistic creation
R.90.04	Operation of arts facilities
R.91	Libraries, archives, museums and other cultural activities
R.91.0	Libraries, archives, museums and other cultural activities
R.91.01	Library and archives activities
R.91.02	Museums activities
R.91.03	Operation of historical sites and buildings and similar visitor attractions
R.91.04	Botanical and zoological gardens and nature reserves activities
R.92	Gambling and betting activities
R.92.0	Gambling and betting activities
R.92.00	Gambling and betting activities
R.93	Sports activities and amusement and recreation activities
R.93.1	Sports activities
R.93.11	Operation of sports facilities
R.93.12	Activities of sports clubs
R.93.13	Fitness facilities
R.93.19	Other sports activities
R.93.2	Amusement and recreation activities
R.93.21	Activities of amusement parks and theme parks
R.93.29	Other amusement and recreation activities
S	OTHER SERVICE ACTIVITIES
S.94	Activities of membership organisations
S.94.1	Activities of business, employers and professional membership organisations
S.94.11	Activities of business and employers membership organisations
S.94.12	Activities of professional membership organisations
S.94.2	Activities of trade unions
S.94.20	Activities of trade unions
S.94.9	Activities of other membership organisations
S.94.91	Activities of religious organisations
S.94.92	Activities of political organisations
S.94.99	Activities of other membership organisations n.e.c.
S.95	Repair of computers and personal and household goods
S.95.1	Repair of computers and communication equipment
S.95.11	Repair of computers and peripheral equipment
S.95.12	Repair of communication equipment
S.95.2	Repair of personal and household goods
S.95.21	Repair of consumer electronics
S.95.22	Repair of household appliances and home and garden equipment
S.95.23	Repair of footwear and leather goods
S.95.24	Repair of furniture and home furnishings
S.95.25	Repair of watches, clocks and jewellery
S.95.29	Repair of other personal and household goods
S.96	Other personal service activities
S.96.0	Other personal service activities
S.96.01	Washing and (dry-)cleaning of textile and fur products
S.96.02	Hairdressing and other beauty treatment
S.96.03	Funeral and related activities
S.96.04	Physical well-being activities
S.96.09	Other personal service activities n.e.c.
T	ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
T.97	Activities of households as employers of domestic personnel
T.97.0	Activities of households as employers of domestic personnel
T.97.00	Activities of households as employers of domestic personnel
T.98	Undifferentiated goods- and services-producing activities of private households for own use
T.98.1	Undifferentiated goods-producing activities of private households for own use
T.98.10	Undifferentiated goods-producing activities of private households for own use
T.98.2	Undifferentiated service-producing activities of private households for own use
T.98.20	Undifferentiated service-producing activities of private households for own use
U	ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
U.99	Activities of extraterritorial organisations and bodies
U.99.0	Activities of extraterritorial organisations and bodies
U.99.00	Activities of extraterritorial organisations and bodies
